"","X","Y","sig2_x","cov_xy","sig2_y","rho","CCC_Bayes"
"440",134.999740759802,135.001231741047,0.917391060137567,0.00704791090642267,0.913913892799777,0.00758083959504442,0.00759319097222235
"441",134.999492573669,134.999601354568,0.914713867817238,0.00850113947085907,0.917080217938233,0.00925236390490183,0.00920623139340067
"442",135.000137253849,134.999411669984,0.912452087704585,0.00778226644683059,0.914504481696845,0.0085042362484295,0.00849532045554745
"443",135.000545307205,134.999909998967,0.91532665798307,0.0081114740184554,0.915467641783113,0.00889333610580569,0.00888842973836351
"444",134.99952795771,134.999017365821,0.917015212791432,0.0104725718415629,0.919756674131642,0.0112301375648477,0.0111384052641721
"445",135.000674727945,135.002890976101,0.917581266896847,0.00802758526895271,0.920953663010481,0.00882424815167977,0.00877972966022194
"446",135.001028767721,134.998417540403,0.916447474303562,0.00786230627684486,0.91533703802478,0.0084863776418272,0.00844269322260644
"447",135.0010602288,134.999702128649,0.91775118213094,0.00832073805861708,0.917155619131121,0.00918076458337507,0.00912695235405828
"448",134.997841268035,135.000556656193,0.917463553369355,0.00802531819399745,0.914906958390763,0.00892637949582327,0.00887381017013597
"449",134.997215662907,135.001338037477,0.916148276189779,0.00881750910418357,0.916982902194536,0.00949770795573536,0.00946199418351142
"450",135.001375736402,135.002633549579,0.917648185123746,0.00832426374583501,0.91739616660803,0.00883983142027901,0.00881441743833412
"451",135.001971293681,134.999214422944,0.918946101775153,0.0100696479435063,0.917166734099916,0.010834100230074,0.0107491394523568
"452",134.999819987086,135.000350847657,0.915867247483895,0.00797526511308236,0.913232898592109,0.00877020598422271,0.00874821927641391
"453",135.001000094984,135.001409939052,0.919350474148569,0.00593101107567343,0.919120625334809,0.00654239910484602,0.00656914490964533
"454",134.99917681148,134.99961360492,0.91702047780495,0.00812758454946699,0.916492237759198,0.00873403097120802,0.00870099312092612
"455",135.002316083968,135.000376477286,0.918304163144967,0.00726031821575448,0.916050227763656,0.00797535689180909,0.00794971602339507
